εν	1722	prep,a-nsn,a-asn,adv,n-nui	145	1.1.1,1.11.1,1.11.6,1.22.2,1.34.16,1.41.25,1.41.26,2.25.12,2.26.11,2.29.1,2.29.3,2.29.23,2.37.3,2.37.8,3.4.2,3.5.4,3.7.14,3.8.26,3.14.5,3.14.50,3.24.6,4.6.19,4.7.13,4.7.19,4.7.25,4.7.31,4.7.37,4.7.43,4.7.49,4.7.55,4.7.61,4.7.67,4.7.73,4.7.79,4.7.85,4.15.16,4.31.47,5.25.9,6.3.16,6.11.14,6.17.14,9.6.4,9.9.3,9.17.36,9.21.7,9.25.14,9.25.18,10.1.15,10.2.21,10.24.12,11.6.16,11.7.37,11.10.16,11.10.17,11.11.13,11.15.10,11.19.4,12.2.16,12.4.22,12.14.23,12.19.23,12.22.1,13.21.10,14.1.17,14.34.1,19.34.20,20.1.14,21.2.14,21.3.19,21.9.2,21.9.3,23.5.10,23.6.6,24.52.23,26.1.16,26.4.9,26.10.10,26.16.5,26.37.22,26.40.10,26.46.22,27.7.5,27.8.3,27.8.9,38.14.9,40.5.18,40.5.29,40.5.30,40.5.41,40.6.29,40.10.29,40.12.11,40.18.5,40.18.12,40.25.15,40.25.18,40.25.24,40.27.14,41.4.8,41.4.20,41.9.37,41.10.21,42.5.3,42.12.6,42.12.27,42.15.4,42.18.22,43.1.3,43.3.27,43.6.22,43.7.21,43.9.25,43.10.30,43.11.52,43.17.11,43.17.21,43.17.22,43.17.23,43.21.25,44.21.19,44.23.6,44.28.25,45.12.5,46.3.8,46.6.16,46.6.17,46.10.17,46.11.5,46.12.11,46.12.12,46.12.13,46.12.14,46.12.18,46.12.19,46.12.20,46.12.26,49.2.14,49.4.4,49.4.5,50.2.2,50.3.13,61.3.8,62.5.8,66.4.8,66.15.7
αρχη	746	n-dsf,n-nsf	2	1.1.1,1.10.10
εποιησεν	4160	v-aai-3s	1	1.1.1
ο	3588	t-nsm,r-nsn,r-asn,d-nsm,r-nsm,t-vsm	583	1.1.1,1.1.7,1.1.29,1.1.30,1.2.19,1.2.25,1.3.3,1.3.8,1.7.23,1.9.3,1.9.12,1.18.8,1.19.19,1.20.9,1.23.9,1.23.16,1.23.17,1.23.19,1.23.20,1.25.9,1.25.10,1.27.20,1.30.18,1.30.33,1.30.35,1.30.37,1.32.32,1.34.11,1.37.10,1.41.28,1.41.55,1.42.14,1.44.8,1.44.15,1.49.29,1.49.30,1.50.10,1.50.11,1.50.13,2.1.22,2.4.9,2.4.12,2.10.5,2.12.22,2.12.39,2.14.12,2.15.17,2.16.1,2.16.5,2.16.16,2.16.23,2.16.32,2.18.14,2.22.9,2.28.8,2.29.26,2.30.13,2.35.4,2.36.4,2.38.24,3.4.7,3.4.9,3.4.18,3.5.16,3.6.4,3.6.6,3.6.20,3.6.27,3.7.20,3.7.21,3.8.5,3.8.21,3.8.28,3.9.6,3.10.1,3.10.3,3.11.26,3.11.32,3.11.33,3.11.34,3.11.35,3.11.37,3.11.39,3.11.41,3.11.42,3.13.58,3.14.21,3.15.4,3.15.6,3.15.9,3.15.17,3.15.20,3.15.26,3.16.2,3.17.2,3.17.13,3.22.5,3.25.27,3.27.26,3.27.28,3.27.29,3.27.32,4.6.18,4.7.89,4.8.4,4.18.26,4.21.16,4.22.5,4.22.20,4.22.35,4.22.36,4.22.38,4.23.3,4.23.26,4.26.60,4.28.23,4.30.1,4.31.21,4.31.23,4.31.32,4.31.50,4.31.52,4.33.6,4.33.7,4.33.54,4.36.6,5.1.14,5.1.17,5.1.20,5.4.2,5.4.17,5.4.18,5.4.48,5.7.12,5.8.3,5.8.16,5.12.32,5.13.2,5.15.2,5.15.19,5.16.21,5.17.10,5.18.20,5.18.21,5.18.22,5.20.20,5.22.9,5.23.23,5.25.6,5.28.33,5.28.36,5.28.49,5.28.57,5.32.49,5.32.50,6.1.13,6.8.35,6.10.27,6.11.17,6.14.6,6.18.16,6.22.28,6.22.29,6.24.27,6.24.30,7.2.7,7.2.10,7.6.25,7.7.13,7.14.16,7.16.3,7.18.24,7.18.31,7.20.9,7.20.36,8.2.9,9.1.17,9.1.27,9.2.14,9.2.23,9.2.34,9.9.6,9.12.16,9.14.7,9.19.3,9.20.23,9.25.8,9.26.16,10.2.24,10.7.25,10.11.27,10.12.15,10.12.21,10.13.15,10.14.14,10.14.15,10.14.18,10.15.35,10.15.36,10.18.4,10.19.35,10.24.10,11.2.27,11.2.31,11.2.38,11.3.28,11.7.51,11.8.20,11.12.15,11.12.32,11.12.33,11.13.3,11.13.5,11.13.32,11.15.29,11.16.12,11.16.34,11.17.16,11.18.24,11.18.33,11.19.18,11.22.38,12.1.17,12.2.22,12.4.1,12.4.2,12.10.17,12.12.4,12.12.16,12.14.25,12.17.40,12.18.14,12.20.15,12.20.17,12.22.4,12.23.15,12.23.16,12.23.17,13.26.28,13.28.12,13.29.3,13.29.16,13.29.25,14.1.5,14.6.17,14.7.7,14.8.12,14.13.4,14.14.11,14.15.8,14.18.13,14.29.9,14.30.8,14.32.13,14.32.25,14.32.31,14.34.9,14.35.18,14.35.24,15.6.9,15.6.13,15.6.15,15.7.15,15.7.16,15.7.20,15.7.21,15.7.23,16.2.13,16.2.19,16.13.14,17.2.13,17.7.10,18.13.28,18.15.9,18.19.4,18.23.13,18.34.4,19.1.3,19.44.1,19.68.16,19.68.28,19.74.2,19.78.54,19.78.68,19.83.14,19.104.9,19.109.19,19.137.8,19.139.15,20.30.29,21.2.3,21.2.10,21.2.24,21.3.11,21.3.22,21.5.18,21.6.3,21.6.10,21.7.24,21.7.29,21.8.3,21.8.9,21.10.5,22.1.1,23.7.18,23.7.20,23.8.12,23.9.3,23.11.11,23.16.11,23.16.13,23.18.7,23.19.15,23.21.6,23.29.11,23.30.6,23.39.2,23.39.4,23.44.14,23.55.11,23.59.21,23.62.2,23.65.16,24.1.1,24.7.27,24.7.31,24.13.6,24.13.7,24.13.10,24.13.20,24.18.4,24.19.2,24.19.11,24.23.6,24.27.11,24.35.4,24.35.14,24.41.9,24.49.36,24.52.7,25.1.12,25.2.6,25.5.1,26.4.10,26.10.15,26.10.20,26.11.23,26.15.6,26.16.15,26.33.20,26.36.21,26.36.22,26.36.23,26.47.9,27.2.26,27.2.27,27.4.18,27.4.20,27.4.24,27.8.21,28.5.2,32.3.2,35.1.1,35.1.5,40.1.23,40.8.4,40.10.26,40.10.27,40.12.2,40.12.4,40.12.36,40.13.8,40.13.12,40.13.23,40.13.32,40.14.7,40.15.5,40.16.19,40.19.6,40.20.4,40.20.15,40.20.22,40.25.29,40.26.13,40.27.33,40.27.60,41.2.24,41.3.17,41.4.4,41.4.25,41.5.33,41.5.41,41.6.22,41.6.23,41.7.11,41.7.15,41.7.34,41.10.9,41.10.35,41.10.38,41.10.39,41.11.23,41.12.42,41.13.11,41.13.37,41.14.8,41.14.9,41.14.72,41.15.16,41.15.22,41.15.34,41.15.42,41.15.46,42.2.15,42.2.31,42.2.50,42.5.3,42.5.25,42.6.2,42.6.3,42.8.5,42.8.17,42.8.18,42.9.33,42.10.35,42.11.6,42.12.2,42.12.3,42.17.10,42.19.21,42.19.22,42.19.26,42.22.60,43.1.3,43.1.9,43.1.38,43.1.41,43.1.42,43.2.5,43.3.11,43.3.32,43.4.5,43.4.14,43.4.22,43.4.38,43.6.14,43.6.22,43.6.37,43.6.39,43.7.39,43.8.25,43.9.7,43.13.7,43.13.27,43.14.13,43.14.17,43.14.26,43.15.7,43.15.14,43.15.16,43.15.26,43.16.17,43.16.18,43.17.2,43.17.4,43.17.24,43.18.11,43.19.17,43.19.22,43.20.7,44.1.12,44.2.33,44.3.6,44.4.36,44.5.32,44.9.6,44.10.17,44.10.37,44.11.30,44.13.2,44.13.41,44.14.11,44.14.26,44.17.23,44.21.23,44.23.19,44.26.10,45.1.2,45.4.21,45.6.10,45.7.15,45.7.16,45.7.19,45.7.20,45.8.24,45.8.25,45.9.21,45.10.8,45.11.7,45.12.3,45.14.23,46.3.14,46.4.7,46.6.18,46.7.36,46.10.13,46.10.15,46.10.16,46.11.23,46.15.1,46.15.3,46.15.10,46.15.36,46.15.37,46.16.2,47.2.10,47.11.4,47.11.12,47.11.17,47.12.6,47.12.13,48.1.7,48.1.8,48.1.9,48.2.2,48.2.10,48.2.20,48.6.7,49.1.14,49.3.4,49.3.5,49.5.5,49.6.17,50.2.5,50.3.16,51.1.24,51.1.29,51.2.14,51.3.14,51.3.17,51.3.23,51.3.25,51.4.3,53.1.11,53.2.14,53.3.17,54.1.11,54.2.7,54.2.10,54.4.14,55.1.6,55.1.11,56.1.3,58.7.2,58.8.3,58.9.7,59.4.5,60.2.8,60.3.4,60.3.21,62.1.1,62.1.3,62.2.8,62.2.24,62.2.27,62.3.22,62.4.2,62.4.3,62.5.15,64.1.5,66.1.11,66.2.7,66.2.17,66.2.25,66.3.11,66.5.13,66.13.2,66.17.8,66.17.11,66.19.12,66.20.12,66.21.8,66.21.17
θεος	2316	n-nsm,n-vsm	2	1.1.1,14.14.11
τον	3588	t-asm,t-asn,d-asm	3	1.1.1,1.27.40,12.13.21
ουρανον	3772	n-asm	1	1.1.1
και	2532	conj,adv,prep	3	1.1.1,2.12.48,10.17.11
την	3588	t-asf,d-asf	2	1.1.1,12.4.19
γην	1065	n-asf	77	1.1.1,40.2.20,40.2.21,40.5.5,40.9.26,40.10.29,40.10.34,40.13.5,40.13.8,40.13.23,40.14.34,40.15.35,40.25.18,40.27.45,41.4.5,41.4.8,41.4.20,41.6.53,41.15.33,42.4.25,42.5.11,42.6.49,42.8.8,42.8.27,42.12.49,42.13.7,42.14.35,42.16.17,42.23.44,42.24.5,43.3.22,43.8.6,43.8.8,43.12.24,43.21.9,43.21.11,44.4.24,44.7.3,44.7.4,44.9.4,44.13.19,44.14.15,44.26.14,44.27.39,44.27.43,44.27.44,45.10.18,58.1.10,58.11.9,58.12.26,59.5.12,61.3.13,66.5.6,66.6.13,66.7.2,66.7.3,66.8.5,66.8.7,66.9.1,66.9.3,66.10.6,66.11.6,66.11.18,66.12.4,66.12.9,66.12.12,66.12.13,66.13.12,66.13.13,66.14.7,66.14.16,66.14.19,66.16.1,66.16.2,66.17.2,66.19.2,66.21.1
